index,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_km
475,Mahindra KUV 100 mFALCON D75 K8,2016,280000,100000,Diesel,Individual,manual,First Owner,25.32,1198.0,77.0,6.0,9,11058.451816745655
476,Maruti Ertiga VXI,2014,610000,21000,Petrol,Individual,manual,First Owner,16.02,1373.0,93.7,7.0,11,38077.40324594257
477,Ford Fiesta Titanium 1.5 TDCi,2013,300000,60000,Diesel,Individual,manual,Second Owner,23.5,1498.0,90.0,5.0,12,12765.95744680851
478,Tata Indigo CS LX DiCOR,2010,140000,40000,Diesel,Individual,manual,First Owner,16.6,1405.0,70.0,5.0,15,8433.734939759035
479,Hyundai i10 Magna 1.1L,2008,229999,50000,Petrol,Individual,manual,First Owner,19.81,1086.0,68.05,5.0,17,11610.247349823323
480,Maruti A-Star Vxi,2010,200000,65000,Petrol,Individual,manual,Second Owner,19.0,998.0,66.1,5.0,15,10526.315789473685
481,Maruti Wagon R VXI BSIII,2011,200000,80000,Petrol,Individual,manual,First Owner,18.9,998.0,67.1,5.0,14,10582.010582010584
482,Hyundai Verna 1.6 CRDi S,2015,560000,119000,Diesel,Individual,manual,First Owner,23.9,1582.0,126.2,5.0,10,23430.962343096235
483,Maruti Ertiga SHVS VDI,2016,750000,80000,Diesel,Individual,manual,First Owner,24.52,1248.0,88.5,7.0,9,30587.27569331158
484,Maruti Swift VDI BSIV,2017,585000,90000,Diesel,Individual,manual,First Owner,25.2,1248.0,74.0,5.0,8,23214.285714285714
485,Hyundai Verna 1.6 VTVT S Option,2016,760000,20000,Petrol,Individual,manual,First Owner,17.01,1591.0,121.4,5.0,9,44679.60023515578
486,Maruti Swift VDI BSIV,2014,430000,80000,Diesel,Individual,manual,Second Owner,25.2,1248.0,74.0,5.0,11,17063.492063492064
487,Mahindra KUV 100 D75 K6 Plus,2020,480000,44665,Diesel,Individual,manual,First Owner,25.32,1198.0,77.0,6.0,5,18957.34597156398
488,Kia Seltos HTE D,2019,643000,10000,Diesel,Individual,manual,First Owner,20.8,1493.0,113.4,5.0,6,30913.46153846154
489,Hyundai Xcent 1.2 VTVT S,2018,500000,60000,Petrol,Individual,manual,First Owner,20.14,1197.0,81.86,5.0,7,24826.216484607747
490,Honda Brio 1.2 S MT,2016,425000,22000,Petrol,Individual,manual,First Owner,18.5,1198.0,86.8,5.0,9,22972.972972972973
491,Maruti Alto 800 LXI,2014,250000,25000,Petrol,Individual,manual,First Owner,22.74,796.0,47.3,5.0,11,10993.843447669306
492,Maruti Celerio LDi,2016,285000,70000,Diesel,Individual,manual,First Owner,27.62,793.0,47.0,5.0,9,10318.609703113685
493,Maruti Swift Dzire VXi,2008,160000,123000,Petrol,Individual,manual,Third Owner,17.5,1298.0,85.8,5.0,17,9142.857142857143
494,Volkswagen Vento Diesel Trendline,2011,250000,70000,Diesel,Individual,manual,Second Owner,20.54,1598.0,103.6,5.0,14,12171.372930866602
495,Chevrolet Beat LS,2013,170000,70000,Petrol,Individual,manual,Second Owner,18.6,1199.0,79.4,5.0,12,9139.78494623656
496,Toyota Etios Liva GD,2013,409999,45000,Diesel,Individual,manual,First Owner,23.59,1364.0,67.06,5.0,12,17380.203476049173
497,Hyundai Grand i10 AT Asta,2015,400000,40000,Petrol,Individual,automatic,First Owner,18.9,1197.0,82.0,5.0,10,21164.021164021167
498,Maruti Swift Dzire VDI,2019,700000,30000,Diesel,Individual,manual,First Owner,28.4,1248.0,74.02,5.0,6,24647.88732394366
499,Honda Civic 1.8 V AT,2007,350000,90000,Petrol,Individual,automatic,First Owner,12.9,1799.0,130.0,5.0,18,27131.782945736435
500,Maruti Ertiga BSIV VXI,2016,660000,34000,Petrol,Individual,manual,Second Owner,17.5,1373.0,91.1,7.0,9,37714.28571428572
501,Maruti Alto 800 VXI,2017,268000,25000,Petrol,Individual,manual,First Owner,24.7,796.0,47.3,5.0,8,10850.202429149798
502,Maruti Alto 800 VXI,2016,270000,50000,Petrol,Individual,manual,First Owner,22.74,796.0,47.3,5.0,9,11873.35092348285
503,Chevrolet Beat Diesel LT,2013,300000,50000,Diesel,Individual,manual,First Owner,25.44,936.0,57.6,5.0,12,11792.452830188678
504,Tata Tiago 1.2 Revotron XZ,2017,450000,90000,Petrol,Individual,manual,First Owner,23.84,1199.0,84.0,5.0,8,18875.838926174496
505,Chevrolet Beat Diesel LT,2012,220000,70000,Diesel,Individual,manual,Second Owner,25.44,936.0,57.6,5.0,13,8647.798742138364
506,Tata New Safari DICOR 2.2 VX 4x2,2009,250000,146000,Diesel,Individual,manual,Second Owner,13.93,2179.0,138.0,7.0,16,17946.877243359657
507,Ford Figo Petrol EXI,2012,300000,85000,Petrol,Individual,manual,Second Owner,15.6,1196.0,70.0,5.0,13,19230.76923076923
508,Tata Indica V2 2001-2011 DLS BSIII,2009,88000,201850,Diesel,Individual,manual,Second Owner,17.88,1396.0,52.8,5.0,16,4921.700223713647
509,Maruti Swift Dzire VDI,2016,561000,30000,Diesel,Individual,manual,First Owner,26.59,1248.0,74.0,5.0,9,21098.157201955622
510,Maruti Swift Dzire VDI,2018,755000,15000,Diesel,Individual,manual,First Owner,28.4,1248.0,74.02,5.0,7,26584.50704225352
511,Datsun RediGO S,2017,235000,25000,Petrol,Individual,manual,First Owner,22.7,799.0,53.64,5.0,8,10352.422907488986
512,Maruti Alto K10 LXI,2011,165000,90000,Petrol,Individual,manual,First Owner,20.92,998.0,67.1,5.0,14,7887.18929254302
513,Maruti Swift Dzire LDi,2008,190000,80000,Diesel,Individual,manual,Second Owner,19.3,1248.0,73.9,5.0,17,9844.559585492229
514,Tata Indica V2 DLX BSII,2011,110000,50000,Diesel,Individual,manual,First Owner,17.2,1396.0,53.5,5.0,14,6395.3488372093025
515,Mahindra Bolero 2011-2019 DI 4WD NON AC,2012,320000,80000,Diesel,Individual,manual,Second Owner,13.6,2523.0,63.0,8.0,13,23529.411764705885
516,Maruti Swift VDI BSIV,2010,330000,110000,Diesel,Individual,manual,Second Owner,19.41878335651954,,,,15,16993.855585149617
517,Hyundai i20 Asta Option 1.2,2016,540000,38000,Petrol,Individual,manual,First Owner,18.6,1197.0,81.83,5.0,9,29032.258064516125
518,Hyundai EON Era Plus,2013,180000,60000,Petrol,Individual,manual,First Owner,21.1,814.0,55.2,5.0,12,8530.80568720379
519,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,manual,Third Owner,15.37,1196.0,73.0,7.0,9,17566.68835393624
520,Maruti Swift Dzire 1.2 Vxi BSIV,2012,450000,30000,Petrol,Individual,manual,First Owner,17.5,1197.0,85.8,5.0,13,25714.285714285714
521,Maruti Swift Dzire VXI,2014,450000,30000,Petrol,Individual,manual,First Owner,19.1,1197.0,85.8,5.0,11,23560.20942408377
522,Chevrolet Beat LT,2015,200000,50000,Petrol,Individual,manual,First Owner,18.6,1199.0,76.8,5.0,10,10752.68817204301
523,Tata Tiago 1.2 Revotron XZ,2017,425000,42000,Petrol,Individual,manual,First Owner,23.84,1199.0,84.0,5.0,8,17827.18120805369
524,Chevrolet Sail 1.2 LS ABS,2016,400000,30000,Petrol,Individual,manual,First Owner,18.2,1199.0,82.4,5.0,9,21978.021978021978
525,Maruti Alto LXi BSIII,2009,125000,60000,Petrol,Individual,manual,Third Owner,19.7,796.0,46.3,5.0,16,6345.17766497462
526,Jeep Compass 2.0 Longitude Option BSIV,2018,1600000,14000,Diesel,Individual,manual,First Owner,17.1,1956.0,170.0,5.0,7,93567.2514619883
527,Honda City i VTEC VX,2015,900000,22000,Petrol,Individual,manual,First Owner,17.4,1497.0,117.3,5.0,10,51724.137931034486
528,Volkswagen Vento Diesel Highline,2012,450000,90000,Diesel,Individual,manual,First Owner,20.54,1598.0,103.6,5.0,13,21908.471275559885
529,Maruti Alto K10 2010-2014 VXI,2011,210000,46000,Petrol,Individual,manual,First Owner,20.92,998.0,67.1,5.0,14,10038.240917782026
530,Hyundai i20 1.2 Asta Option,2018,801000,20000,Petrol,Individual,manual,First Owner,18.6,1197.0,81.83,5.0,7,43064.51612903226
531,Tata Venture EX 7 Str Captain Seats,2014,317000,15000,Diesel,Individual,manual,First Owner,15.42,1405.0,70.0,7.0,11,20557.717250324255
532,Maruti Ertiga VXI,2015,600000,40000,Petrol,Individual,manual,Second Owner,16.02,1373.0,93.7,7.0,10,37453.183520599254
533,Hyundai i20 Magna,2014,330000,30000,Petrol,Individual,manual,Second Owner,18.5,1197.0,82.85,5.0,11,17837.837837837837
534,Hyundai EON Magna Plus,2017,320000,15000,Petrol,Individual,manual,Second Owner,21.1,814.0,55.2,5.0,8,15165.876777251184
535,Maruti Estilo LXI,2010,160000,50000,Petrol,Individual,manual,First Owner,19.41878335651954,,,,15,8239.445132193754
536,Hyundai Getz GLX,2007,120000,110000,Petrol,Individual,manual,Second Owner,15.3,1341.0,83.0,5.0,18,7843.137254901961
537,Maruti Alto LXi,2009,130000,70000,Petrol,Individual,manual,Second Owner,19.7,796.0,46.3,5.0,16,6598.984771573604
538,Chevrolet Sail 1.2 LS,2015,220000,80000,Petrol,Individual,manual,First Owner,18.2,1199.0,82.4,5.0,10,12087.91208791209
539,Maruti Swift VDI BSIV,2008,229999,50000,Diesel,Individual,manual,Third Owner,19.41878335651954,,,,17,11844.150880996443
540,Tata Zest Revotron 1.2T XM,2015,340000,110000,Petrol,Individual,manual,First Owner,17.57,1193.0,88.7,5.0,10,19351.16676152533
541,Ford Classic 1.4 Duratorq CLXI,2013,200000,70000,Diesel,Individual,manual,Second Owner,19.68,1399.0,67.0,5.0,12,10162.60162601626
542,Maruti Alto LXI,2002,140000,50000,Petrol,Individual,manual,Second Owner,19.7,796.0,46.3,5.0,23,7106.598984771574
543,Toyota Innova 2.5 G (Diesel) 8 Seater,2013,1000000,190000,Diesel,Individual,manual,First Owner,12.99,2494.0,100.6,8.0,12,76982.29407236335
544,Mahindra Bolero SLX,2010,495000,100000,Diesel,Individual,manual,Second Owner,13.6,2523.0,63.0,7.0,15,36397.05882352941
545,Maruti Alto 800 LXI,2015,236000,60000,Petrol,Individual,manual,First Owner,22.74,796.0,47.3,5.0,10,10378.188214599824
546,Maruti Wagon R VXI BS IV,2015,390000,40000,Petrol,Individual,manual,First Owner,20.51,998.0,67.04,5.0,10,19015.11457825451
547,Maruti Swift Dzire VDi,2009,275000,90000,Diesel,Individual,manual,Second Owner,19.3,1248.0,73.9,5.0,16,14248.704663212435
548,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,manual,First Owner,14.1,2179.0,147.94,7.0,10,35673.75886524823
549,Maruti Vitara Brezza ZDi Plus Dual Tone,2017,775000,32000,Diesel,Dealer,manual,First Owner,24.3,1248.0,88.5,5.0,8,31893.004115226337
550,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1800000,30000,Diesel,Individual,automatic,First Owner,11.36,2755.0,171.5,7.0,9,158450.70422535212
551,Hyundai Creta 1.6 CRDi SX,2016,850000,58000,Diesel,Individual,manual,First Owner,19.67,1582.0,126.2,5.0,9,43213.01474326385
552,Maruti Vitara Brezza VDi,2018,750000,5000,Diesel,Individual,manual,First Owner,24.3,1248.0,88.5,5.0,7,30864.197530864196
553,Hyundai i20 1.2 Spotz,2018,570000,25000,Petrol,Individual,manual,First Owner,18.6,1197.0,81.83,5.0,7,30645.16129032258
554,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,580000,32000,Petrol,Individual,manual,First Owner,18.9,1197.0,81.86,5.0,7,30687.83068783069
555,Honda Jazz 1.2 VX i VTEC,2016,484999,30000,Petrol,Individual,manual,First Owner,18.7,1199.0,88.7,5.0,9,25935.77540106952
556,Honda BR-V i-VTEC S MT,2017,700000,43000,Petrol,Dealer,manual,First Owner,15.4,1497.0,117.3,7.0,8,45454.545454545456
557,Hyundai Verna S,2012,415000,60000,Petrol,Dealer,manual,First Owner,17.7,1497.0,113.42,5.0,13,23446.32768361582
558,Nissan Micra XV CVT,2015,325000,50000,Petrol,Individual,automatic,First Owner,19.34,1198.0,76.0,5.0,10,16804.550155118926
559,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,550000,14200,Petrol,Individual,manual,First Owner,18.16,1196.0,86.8,5.0,7,30286.3436123348
560,Hyundai EON Sportz,2017,300000,10000,Petrol,Individual,manual,First Owner,21.1,814.0,55.2,5.0,8,14218.009478672984
561,Datsun RediGO T Option,2018,217000,25000,Petrol,Individual,manual,First Owner,22.7,799.0,53.64,5.0,7,9559.471365638767
562,Ford Freestyle Titanium Petrol BSIV,2018,700000,19100,Petrol,Individual,manual,First Owner,19.0,1194.0,94.68,5.0,7,36842.10526315789
563,Hyundai Santro Sportz AMT BSIV,2019,466000,25000,Petrol,Individual,automatic,Fourth & Above Owner,20.3,1086.0,68.0,5.0,6,22955.66502463054
564,Ford EcoSport 1.5 Diesel Trend BSIV,2014,484999,54000,Diesel,Dealer,manual,First Owner,23.0,1498.0,98.96,5.0,11,21086.91304347826
565,Nissan Sunny XL D,2018,670000,35000,Diesel,Individual,manual,First Owner,22.71,1461.0,84.8,5.0,7,29502.421840598854
566,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,500000,20000,Petrol,Individual,manual,Second Owner,18.9,1197.0,81.86,5.0,7,26455.02645502646
567,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2016,675000,52000,Diesel,Individual,manual,First Owner,23.65,1248.0,88.5,5.0,9,28541.226215644823
568,Hyundai i20 1.4 CRDi Asta,2011,220000,120000,Diesel,Individual,manual,Second Owner,23.0,1396.0,90.0,5.0,14,9565.217391304348
569,Jeep Compass 2.0 Limited,2017,1650000,50000,Diesel,Individual,manual,First Owner,17.1,1956.0,170.0,5.0,8,96491.22807017544
570,Maruti Ertiga ZDI,2013,630000,120000,Diesel,Individual,manual,Second Owner,20.77,1248.0,88.8,7.0,12,30332.20991815118
571,Tata Manza Aura Quadrajet,2010,250000,90000,Diesel,Individual,manual,Second Owner,18.8,1248.0,90.0,5.0,15,13297.87234042553
572,Maruti Wagon R LXI,2004,120000,120000,Petrol,Individual,manual,Third Owner,18.9,998.0,67.1,5.0,21,6349.20634920635
573,Skoda Rapid 1.5 TDI Elegance,2015,300000,101500,Diesel,Individual,manual,Second Owner,21.14,1498.0,103.52,5.0,10,14191.106906338695
574,Hyundai Verna 1.6 CRDi EX AT,2013,525000,75000,Diesel,Individual,automatic,First Owner,22.32,1582.0,126.3,5.0,12,23521.505376344085
575,Maruti Alto K10 LXI,2011,204999,97500,Petrol,Individual,manual,First Owner,19.41878335651954,,0.0,,14,10556.73757909117
576,Maruti Alto K10 LXI,2011,204999,97500,Petrol,Individual,manual,First Owner,19.41878335651954,,0.0,,14,10556.73757909117
577,Mahindra Scorpio 1.99 S10,2016,1100000,100000,Diesel,Individual,manual,First Owner,15.4,1997.0,120.0,7.0,9,71428.57142857142
578,Renault Duster 110PS Diesel RxZ,2012,480000,55735,Diesel,Individual,manual,Second Owner,19.01,1461.0,108.45,5.0,13,25249.868490268276
579,Mahindra XUV500 W4,2014,605000,80000,Diesel,Individual,manual,Second Owner,15.1,2179.0,140.0,7.0,11,40066.225165562915
580,Maruti Alto 800 LXI Optional,2016,250000,50000,Petrol,Individual,manual,Second Owner,24.7,796.0,47.3,5.0,9,10121.457489878543
581,Ford Figo Diesel Celebration Edition,2013,245000,70000,Diesel,Individual,manual,Second Owner,20.0,1399.0,68.1,5.0,12,12250.0
582,Hyundai i10 Magna 1.2 iTech SE,2012,210000,76000,Petrol,Individual,manual,Fourth & Above Owner,20.36,1197.0,78.9,5.0,13,10314.34184675835
583,Maruti Swift Dzire VXI 1.2,2020,730000,1500,Petrol,Individual,manual,First Owner,21.21,1197.0,81.8,5.0,5,34417.72748703442
584,Mahindra Bolero 2011-2019 SLX,2012,500000,76000,Diesel,Individual,manual,First Owner,15.96,2523.0,62.1,7.0,13,31328.32080200501
585,Maruti Wagon R VXI Optional,2015,400000,40000,Petrol,Individual,manual,First Owner,20.51,998.0,67.04,5.0,10,19502.681618722574
586,Hyundai EON Magna Plus,2015,280000,60000,Petrol,Individual,manual,Second Owner,21.1,814.0,55.2,5.0,10,13270.142180094786
587,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,561000,170000,Diesel,Individual,manual,Third Owner,12.8,2494.0,102.0,8.0,16,43828.125
588,Mitsubishi Pajero Sport 4X4,2013,950000,181491,Diesel,Dealer,manual,First Owner,13.5,2477.0,175.56,7.0,12,70370.37037037036
589,Chevrolet Beat Diesel LS,2016,375000,53319,Diesel,Dealer,manual,First Owner,25.44,936.0,56.3,5.0,9,14740.566037735849
590,Volkswagen Ameo 1.5 TDI Comfortline,2017,700000,40906,Diesel,Dealer,manual,First Owner,21.66,1498.0,108.62,5.0,8,32317.63619575254
591,Toyota Etios VX,2012,375000,31711,Petrol,Dealer,manual,Second Owner,17.6,1496.0,88.7,5.0,13,21306.81818181818
592,Hyundai EON Era Plus,2012,270000,43755,Petrol,Dealer,manual,Second Owner,21.1,814.0,55.2,5.0,13,12796.208530805687
593,Renault KWID RXT,2016,300000,66693,Petrol,Dealer,manual,First Owner,25.17,799.0,53.3,5.0,9,11918.951132300357
594,Maruti Zen Estilo VXI BSIV,2010,225000,59549,Petrol,Dealer,manual,First Owner,19.0,998.0,67.1,5.0,15,11842.105263157895
595,Toyota Innova 2.5 G (Diesel) 8 Seater,2015,1350000,94385,Diesel,Dealer,manual,First Owner,12.99,2494.0,100.6,8.0,10,103926.09699769053
596,Maruti Zen Estilo LXI BSIII,2010,200000,73730,Petrol,Dealer,manual,First Owner,18.2,998.0,67.1,5.0,15,10989.010989010989
597,Hyundai Verna 1.6 SX,2011,400000,221889,Diesel,Dealer,manual,First Owner,22.32,1582.0,126.32,5.0,14,17921.14695340502
598,Honda Amaze VX i-DTEC,2013,500000,116104,Diesel,Dealer,manual,First Owner,25.8,1498.0,98.6,5.0,12,19379.84496124031
599,Maruti Swift VXI BSIV,2015,500000,150546,Petrol,Dealer,manual,First Owner,22.0,1197.0,81.8,5.0,10,22727.272727272728
600,Toyota Fortuner 2.8 2WD MT,2013,1500000,148120,Diesel,Dealer,manual,First Owner,14.24,2755.0,174.5,7.0,12,105337.0786516854
601,Ford Ecosport 1.5 Ti VCT MT Titanium,2015,555000,20000,Petrol,Individual,manual,Second Owner,15.8,1499.0,110.0,5.0,10,35126.58227848101
602,Hyundai Grand i10 1.2 Kappa Magna AT,2018,580000,30000,Petrol,Individual,automatic,First Owner,18.9,1197.0,81.86,5.0,7,30687.83068783069
603,Tata Aria Pride,2011,337000,142000,Diesel,Individual,manual,Third Owner,13.7,2179.0,138.1,7.0,14,24598.540145985404
604,Tata Sumo CX 10 Str BSIV,2011,175000,20000,Diesel,Individual,manual,First Owner,12.2,1948.0,68.0,10.0,14,14344.262295081968
605,Tata Manza Aura Plus Quadrajet,2009,180000,120000,Diesel,Individual,manual,Second Owner,18.8,1248.0,90.0,5.0,16,9574.468085106382
606,Hyundai i10 Sportz 1.1L,2011,200000,80000,Petrol,Individual,manual,First Owner,19.81,1086.0,68.05,5.0,14,10095.911155981828
607,Tata Indigo CS LX (TDI) BS-III,2016,260000,60000,Diesel,Individual,manual,First Owner,19.09,1405.0,69.01,5.0,9,13619.696176008381
608,Renault KWID 1.0 RXT Optional,2016,350000,25000,Petrol,Individual,manual,First Owner,23.01,999.0,67.0,5.0,9,15210.777922642328
609,Mahindra Bolero SLX,2011,409999,50000,Diesel,Individual,manual,Second Owner,13.6,2523.0,63.0,7.0,14,30146.985294117647
610,Mahindra TUV 300 T8,2017,655000,126000,Diesel,Individual,manual,First Owner,18.49,1493.0,100.0,7.0,8,35424.553812871825
611,Maruti Swift Dzire LDI,2015,370000,170000,Diesel,Individual,manual,First Owner,26.59,1248.0,74.0,5.0,10,13915.005641218504
612,Maruti Alto 800 LXI,2013,200000,24000,Petrol,Individual,manual,First Owner,22.74,796.0,47.3,5.0,12,8795.074758135444
613,Maruti Ertiga SHVS ZDI,2017,800000,100000,Diesel,Individual,manual,Second Owner,24.52,1248.0,88.5,7.0,8,32626.42740619902
614,Tata Tiago NRG Petrol,2019,550000,10000,Petrol,Individual,manual,First Owner,24.0,1199.0,83.81,5.0,6,22916.666666666668
615,Ford Figo Diesel ZXI,2012,300000,70000,Diesel,Individual,manual,Second Owner,20.0,1399.0,68.0,5.0,13,15000.0
616,Maruti Omni E MPI STD BS IV,2017,220000,40000,Petrol,Individual,manual,First Owner,16.8,796.0,34.2,8.0,8,13095.238095238095
617,Maruti Wagon R LXI BS IV,2011,196000,110000,Petrol,Individual,manual,First Owner,18.9,998.0,67.1,5.0,14,10370.37037037037
618,Hyundai i10 Era,2008,135000,80000,Petrol,Individual,manual,Second Owner,19.81,1086.0,68.05,5.0,17,6814.740030287734
619,Tata Bolt Revotron XE,2015,299000,16500,Petrol,Individual,manual,First Owner,17.57,1193.0,88.7,5.0,10,17017.6437108708
620,Maruti Alto K10 VXI,2017,300000,30000,Petrol,Individual,manual,First Owner,23.95,998.0,67.05,5.0,8,12526.096033402922
621,Maruti Ertiga SHVS VDI,2017,720000,80000,Diesel,Individual,manual,First Owner,24.52,1248.0,88.5,7.0,8,29363.784665579118
622,Tata Safari Storme EX,2016,650000,50000,Diesel,Individual,manual,Third Owner,14.1,2179.0,147.94,7.0,9,46099.29078014185
623,Maruti Alto K10 VXI,2016,300000,25000,Petrol,Individual,manual,First Owner,23.95,998.0,67.05,5.0,9,12526.096033402922
624,Hyundai Grand i10 1.2 CRDi Asta,2019,750000,20000,Diesel,Individual,manual,First Owner,24.0,1186.0,73.97,5.0,6,31250.0
625,Renault KWID RXT,2016,260000,60000,Petrol,Individual,manual,First Owner,25.17,799.0,53.3,5.0,9,10329.757647993643
626,Maruti Swift VDI,2011,300000,70000,Diesel,Individual,manual,Second Owner,22.9,1248.0,74.0,5.0,14,13100.436681222709
627,Mahindra Bolero 2011-2019 SLX,2014,600000,50000,Diesel,Individual,manual,Second Owner,15.96,2523.0,62.1,7.0,11,37593.984962406015
628,Honda Accord V6 AT,2004,275000,100000,Petrol,Individual,automatic,Second Owner,9.0,2997.0,218.0,5.0,21,30555.555555555555
629,Maruti Alto K10 VXI,2015,250000,52000,Petrol,Individual,manual,First Owner,23.95,998.0,67.05,5.0,10,10438.413361169103
630,Maruti Swift Dzire VDI,2014,420000,80000,Diesel,Individual,manual,First Owner,23.4,1248.0,74.0,5.0,11,17948.71794871795
631,Hyundai EON Era Plus,2015,235000,50000,Petrol,Individual,manual,First Owner,21.1,814.0,55.2,5.0,10,11137.440758293838
632,Mahindra Scorpio S10 7 Seater,2016,1100000,60000,Diesel,Individual,manual,First Owner,15.4,2179.0,120.0,7.0,9,71428.57142857142
633,Maruti Alto K10 VXI,2019,360000,25000,Petrol,Individual,manual,First Owner,23.95,998.0,67.05,5.0,6,15031.315240083508
634,Hyundai Grand i10 CRDi Asta,2014,380000,50000,Diesel,Individual,manual,Second Owner,24.0,1120.0,70.0,5.0,11,15833.333333333334
635,Ford EcoSport 1.5 TDCi Titanium BSIV,2016,650000,125000,Diesel,Individual,manual,First Owner,22.77,1498.0,98.59,5.0,9,28546.332894158983
636,Maruti Wagon R VXI Optional,2016,350000,80000,Petrol,Individual,manual,First Owner,20.51,998.0,67.04,5.0,9,17064.84641638225
637,Mahindra Bolero 2011-2019 DI - AC BS III,2017,700000,70000,Diesel,Individual,manual,First Owner,15.96,2523.0,63.0,9.0,8,43859.649122807015
638,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),2010,270000,90000,Diesel,Individual,manual,Third Owner,23.0,1396.0,90.0,5.0,15,11739.130434782608
639,Tata Bolt Quadrajet XE,2017,450000,50000,Diesel,Individual,manual,First Owner,22.95,1248.0,74.0,5.0,8,19607.843137254902
640,Mahindra Thar CRDe,2016,630000,101000,Diesel,Individual,manual,First Owner,16.55,2498.0,105.0,6.0,9,38066.46525679758
641,Mahindra Xylo E4 BS IV,2010,229999,168000,Diesel,Individual,manual,First Owner,14.0,2498.0,112.0,7.0,15,16428.5
642,Mahindra Xylo E4 BS IV,2010,229999,168000,Diesel,Individual,manual,First Owner,14.0,2498.0,112.0,7.0,15,16428.5
643,Maruti Wagon R VXI BS IV,2011,270000,40000,Petrol,Individual,manual,First Owner,18.9,998.0,67.1,5.0,14,14285.714285714286
644,Tata Indica Vista Aura Safire Anniversary Edition,2009,135000,28900,Petrol,Individual,manual,Second Owner,0.0,1172.0,65.0,5.0,16,inf
645,Maruti Wagon R VXI BS IV,2012,275000,20000,Petrol,Individual,manual,First Owner,18.9,998.0,67.1,5.0,13,14550.264550264552
646,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,automatic,First Owner,13.6,1999.0,177.0,5.0,8,193014.70588235295
648,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,automatic,First Owner,19.33,1999.0,177.0,5.0,8,165545.78375581998
649,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,manual,First Owner,14.1,2179.0,147.94,7.0,10,35673.75886524823
650,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,automatic,First Owner,18.0,1969.0,190.0,5.0,6,211111.11111111112
651,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,automatic,First Owner,19.16,2494.0,157.7,5.0,9,104384.13361169102
652,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,manual,First Owner,21.79,998.0,67.05,5.0,12,10325.837540156035
653,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,manual,First Owner,27.39,1248.0,74.0,5.0,7,27017.15954728003
654,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,manual,First Owner,18.2,1199.0,88.7,5.0,9,30219.78021978022
655,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,manual,Second Owner,12.99,2494.0,100.6,7.0,12,57736.72055427251
656,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,automatic,First Owner,22.0,1197.0,81.8,5.0,6,29545.454545454544
657,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,manual,First Owner,16.78,1496.0,88.73,5.0,8,37246.722288438614
658,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,automatic,First Owner,22.0,1197.0,81.8,5.0,7,27272.727272727272
659,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,manual,First Owner,24.0,1186.0,73.97,5.0,8,18750.0
662,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,automatic,First Owner,19.0,1199.0,88.76,5.0,6,41000.0
663,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,automatic,First Owner,14.3,1598.0,103.5,5.0,9,45104.895104895106
664,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,automatic,First Owner,16.8,1984.0,150.0,5.0,7,147321.42857142858
665,Mahindra TUV 300 T8,2015,634000,165000,Diesel,Individual,manual,First Owner,18.49,1493.0,100.0,7.0,10,34288.80475932937
666,Maruti A-Star Zxi,2012,235000,98500,Petrol,Individual,manual,Second Owner,19.0,998.0,66.1,5.0,13,12368.421052631578
667,Hyundai i10 Asta,2008,275000,98000,Petrol,Individual,manual,Third Owner,20.36,1197.0,78.9,5.0,17,13506.87622789784
668,Mahindra Thar CRDe AC,2014,700000,40000,Diesel,Individual,manual,Second Owner,16.55,2498.0,105.0,6.0,11,42296.07250755287
669,Fiat Grande Punto Sport 90BHP,2013,400000,90000,Diesel,Individual,manual,First Owner,20.3,1248.0,92.0,5.0,12,19704.433497536946
